,id,product_type,product_name,color_description,scent_description,taste_description,fruit_tasting,sugar_tasting,acidity_tasting,tannin_tasting,harmonizes_with,technical_sheet_wine_type,technical_sheet_volume,technical_sheet_closure_type,technical_sheet_service_temperature_in_celsius,technical_sheet_country,technical_sheet_region,technical_sheet_alcohol_content,technical_sheet_grapes,technical_sheet_producer,technical_sheet_crop_year,technical_sheet_cellaring_time,technical_sheet_maturation_time,specialist_review_content,specialist_review_owner,specialist_review_occupation,url
536,151,Vinho tinto português,Portada Reserva Black Shiraz | Cabernet Sauvignon Vinho Regional Lisboa 2021,Vermelho-rubi profundo,Aromas de frutas vermelhas maduras e notas de especiarias,"Intenso e aveludado, taninos sedosos e final elegante",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Portugal,Lisboa,13.5,"Cabernet Sauvignon, Shiraz",DFJ Vinhos,2021,2025,3 meses em barricas de carvalho francês,"A linha de vinhos Portada é a favorita dos nossos clientes. Por isso, trouxemos de volta este Portada Reserva para você degustar. Protagonizado pelas uvas Cabernet Sauvignon e Shiraz, ele oferece paladar aveludado e intenso, com aromas de frutas vermelhas e especiarias. Na hora de harmonizar, aposte em pratos da culinária portuguesa.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/portada-reserva-black-shiraz-cabernet-sauvignon-vinho-regional-lisboa-2021.html
537,158,Vinho branco sul-africano,The African Horizon Chenin Blanc Western Cape W.O. 2023,Amarelo-palha,"Aromas frescos de frutas cítricas, de caroço e tropicais","Leve e refrescante, com bom equilíbrio entre frutas e acidez",3,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho branco,750ml,Tampa de rosca,6,África do Sul,Western Cape,12,Chenin Blanc,Origin Wine,2023,2025,,"Uva emblemática da África do Sul, a Chenin Blanc é cultivada desde a era colonial e ocupa aproximadamente 20% das vinhas do país. Nesta versão de African Horizon, a casta se expressa de forma leve e refrescante em boca, esta versão de African Horizon oferece equilíbrio entre frutas e acidez ao paladar, enquanto se destacam aromas de frutas cítricas, de caroço e tropicais no nariz. Para harmonizar, sugerimos apostar em ceviche de peixe branco, vieiras grelhadas e tilápia ao forno.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/origin-wine-the-african-horizon-chenin-blanc-2023.html
538,161,Vinho tinto italiano,Nero Reale Primitivo di Manduria DOC 2022,Vermelho-rubi intenso,Frutas vermelhas e toques de baunilha e especiarias,"Concentrado, marcante e com taninos redondos",4,2,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Puglia,14.5,Primitivo,Angelo Rocca e Figli Srl,2022,2025,Estágio em barricas de carvalho,"Manduria é uma das mais famosas regiões vinícolas da Itália. Quando cultivada lá, a tradicional uva Primitivo apresenta suas melhores expressões. Una isso à maestria e expertise da vinícola Rocca e terá Nero Reale, um vinho concentrado, potente e muito aromático.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/nero-reale-primitivo-di-manduria-doc-2022.html
539,163,Vinho tinto argentino,Baudron Red Blend 2023,Vermelho-rubi vibrante com toques violáceos,"Notas de frutas vermelhas, como framboesa, e toques de groselha preta","Equilibrado, elegante e fácil de beber, com taninos macios",3,1,2,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13.3,Uvas variadas,Bodegas y Viñedos Baudron,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/baudron-red-blend-2023.html
541,167,Vinho tinto chileno,Lagunas Carménère Valle Central D.O. 2023,Vermelho-rubi brilhante e intenso,"Complexo, com notas de frutas pretas, amoras, pimenta e especiarias","Elegante e equilibrado, com acidez média e taninos suaves",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Carménère,Cremaschi Furlotti,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/cremaschi-lagunas-carmenere-2023.html
543,188,Vinho tinto italiano,Appassimento 100x100 De’Conti Esploratore Rosso Passito Puglia IGT 2021,Vermelho-rubi profundo,Aromas de frutas vermelhas em compota,"Elegante e potente, com taninos equilibrados e fruta marcante",4,2,3,3,"Pizzas e massas de molho vermelho, Pratos apimentados, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Puglia,14.5,Blend,Cielo e Terra Vini,2021,2025,,"A Puglia é considerada a principal região vinícola do sul da Itália, não apenas pela enorme produção dos seus vinhedos, mas também pela excelente qualidade encontrada em seus rótulos. E nada melhor que um clássico macio e aromático como Appassimento para comprovar tudo isso.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/appassimento-100x100-de-conti-esploratore-rosso-passito-puglia-igt-2021.html
544,172,Vinho tinto português,Influente Tinto Vinho Regional Lisboa,Vermelho-rubi,Aromas de frutas vermelhas maduras,"Harmonioso, agradável e com taninos macios",3,2,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Portugal,Lisboa,11.5,"Aragonez, Blend, Castelão, Touriga Nacional, Uvas variadas",Adega Cooperativa do Cadaval,,2025,3 meses em barricas de carvalho,"Descrita por Luís Camões como ""onde a terra se acaba e o mar começa”, Lisboa é conhecida por suas paisagens deslumbrantes e pela influência das brisas marítimas na região. Essa combinação de fatores contribui para um terroir que origina vinhos de grande caráter, como a versão tinta da linha Influente. A união das uvas Aragonez, Castelão e Touriga Nacional resulta em um rótulo harmonioso, agradável e com taninos macios em boca, enquanto revela aromas de frutas vermelhas maduras ao nariz. Para harmonizar, sugerimos apostar em arroz com lentilha e cebola dourada, massa ao molho sugo e batatas rústicas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/adega-cooperativa-do-cadaval-influente-tinto-2022.html
545,174,Espumante Branco brasileiro,Chandon Magnum Excellence Brut 2013 1500ml,Amarelo esverdeado com reflexos dourados e perlage fino,Ameixa e frutas cristalizadas com toques de pão torrado e especiarias,Vibrante e suculento com final persistente,3,1,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Espumante Branco,1500ml,Rolha de cortiça,8,Brasil,Rio Grande do Sul,12,Uvas variadas,Outros,2013,2025,Estágio sur lie em tanques de aço inoxidável,"Elaborado pela Chandon, que elevou o status do espumante brasileiro diante do mundo, este rótulo é complexo e elegante. Trazendo o clássico blend de Pinot Noir e Chardonnay, é frutado na medida certa, com acidez vibrante e ótima persistência.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/chandon-magnum-excellence-cuvee-prestige-2013-1500ml.html
547,179,Vinho branco francês,Château du Tariquet VS Classique Bas-Armagnac AOC,Âmbar intenso e brilhante com reflexos dourados,"Intenso e complexo, com notas de caramelo, especiarias, geléia de marmelo e toques tostados","Generoso, versátil, jovem e ligeiramente baunilhado, com notas de chocolate, madeira, alcaçuz e tabaco",4,1,3,2,"Carnes vermelhas, Pratos apimentados, Queijos, Sobremesas",Vinho branco,700ml,Rolha de cortiça,15,França,Bas-Armagnac,40,Ugni Blanc,,,2025,Mínimo de 3 anos em barricas de carvalho,"Elaborado na Apelação de Origem Controlada de Bas-Armagnac, um pedaço de terra ainda mais específico e único da região de Armagnac, Château du Tariquet VS Classique é generoso, versátil e jovem. Extremamente aromático, ele exala notas de caramelo, especiarias, geleia de marmelo e toques tostados. Este exemplar possui a classificação Very Special (VS), que diz respeito ao tempo mínimo de 2 anos de envelhecimento da bebida.",Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/domaine-tariquet-armagnac-classique-vs-700ml-91251.html
548,180,Vinho tinto italiano,Campo Alle Noci Brunello di Montalcino DOCG 2019,Vermelho-rubi intenso,"Frutas secas, frutas vermelhas, violetas e toques terrosos","Encorpado, fresco e com taninos aveludados ",4,1,3,3,"Carnes de caça, Carnes vermelhas, Queijos, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Toscana,14.5,Sangiovese Grosso,Poggio Salvi,2019,2025,30 meses em barricas de carvalho eslavo,"Brunello, originário da região italiana de Montalcino, é um dos vinhos mais famosos da Itália. A denominação, situada ao sul da Toscana, tem o clima e as condições perfeitas para o cultivo da Sangiovese Grosso, uma variação da Sangiovese, que exibe todo o seu potencial no encorpado e saboroso Campo Alle Noci.",Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/campo-alle-noci-brunello-di-montalcino-docg-2019.html
549,185,Vinho rosé chileno,Cultivo Rosé Central Valley D.O. 2023, Rosa cereja brilhante,Notas de morangos e cerejas,"Equilibrado, com toques de frutas vermelhas",4,1,3,1,"Frutos do mar, Pizzas e massas de molho vermelho, Saladas e aperitivos",Vinho rosé,750ml,Rolha de cortiça,6,Chile,Valle Central,12.5,Syrah,Bodegas y Viñedos de Aguirre,2023,2025,,"Originária da França, a Syrah se beneficiou da altitude e amplitude térmica do Valle Central para protagonizar rótulos saborosos e descomplicados, como este Cultivo Rosé. No nariz, se destacam notas de morango e cereja, enquanto em boca é equilibrado, revelando sutis toques de frutas vermelhas a cada gole. Perfeito para ser apreciado sozinho, este exemplar também pode deixar qualquer momento ainda mais especial, principalmente quando harmonizado com ceviche de salmão, pizza margherita e salada caprese ao molho pesto.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/aguirre-cultivo-rose-syrah-2023.html
550,187,Vinho tinto francês,Réserve Saint Marc Merlot Pays d'Oc IGP 2022,Vermelho-rubi,Aromas intensos de groselha preta com outras frutas silvestres,"Saboroso, frutado, harmônico e macio",4,1,3,2,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,França,Languedoc-Roussillon,13.5,Merlot,Les Vignobles Foncalieu,2022,2025,Estágio em tanques de aço inoxidável,"Região do sul da França, o Languedoc-Roussillon é conhecido por ser um dos grandes territórios produtores de vinhos do país. Entre suas classificações  mais famosas está a Indicação Geográfica Protegida Pays d’Oc, que foi a escolhida para ser palco do nascimento deste Réserve Saint Marc. 100% Merlot, este rótulo exala aromas intensos de groselha preta com outras frutas silvestres, e um paladar saboroso, frutado, harmônico e macio.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/foncalieu-reserve-saint-marc-merlot-pays-d-oc-2022.html
551,463,Vinho tinto argentino,Villa del Nevado Cabernet Sauvignon 2024,Vermelho-rubi intenso com reflexos violáceos,Notas de frutas vermelhas e pretas maduras,"Aveludado, com taninos estruturados, acidez equilibrada e final longo",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13,Cabernet Sauvignon,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/villa-del-nevado-cabernet-sauvignon-2024.html
553,193,Vinho tinto chileno,Remonte Winemaker Selection Syrah 2024,Vermelho-rubi intenso com tons violáceos,Aromas de frutas vermelhas,"Saboroso, com taninos macios e toques de cereja e alcaçuz",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Chile,Valle Central,12.5,Syrah,Bodega Y Viñedos de Aguirre,2024,2025,,"Uma das regiões vinícolas mais renomadas do Novo Mundo, o Valle Central é mundialmente conhecido por produzir vinhos saborosos e descomplicados, como esta versão de Remonte. Elaborado a partir da uva Syrah, ele apresenta taninos macios com toques de cereja e alcaçuz ao paladar, além de aromas de frutas vermelhas ao nariz. Perfeito para ser apreciado sozinho, este exemplar também pode tornar qualquer momento ainda mais especial, principalmente quando harmonizado com carnes grelhadas, tábua de frios ou queijos maduros.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/bodega-y-vinedo-de-aguirre-remonte-syrah-2024.html
554,195,Vinho tinto italiano,Ab-Imis Sangiovese Puglia IGT,Vermelho-rubi translúcido,Frutas vermelhas frescas,"Frutado, macio, equilibrado e fácil de beber",4,2,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Itália,Puglia,11,Sangiovese,Casa Vinicola Caldirola.,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/caldirola-ab-imis-sangiovese-puglia-igt-tradizione.html
557,206,Vinho tinto italiano,Baccolo Appassimento Rosso Veneto IGT 2022,Bordô escuro,Notas intensas de frutas maduras e especiarias,"Redondo, aveludado e persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Vêneto,13.5,Uvas variadas,Cielo e Terra,2022,2025,,"Baccolo é uma linha que homenageia Baco, o deus do vinho e protetor das vinhas segundo a mitologia grega. Elaborado no Vêneto, uma das maiores regiões vinícolas do nordeste italiano, Baccolo Appassimento é um tinto produzido por meio do método Appassimento, no qual as uvas são desidratadas parcialmente antes da prensagem, concentrando mais açúcares, aromas e sabores. Estrelado pelas uvas Merlot e Corvina, este é um exemplar redondo e persistente, com notas de frutas maduras e especiarias, que conquistou o famoso crítico Luca Maroni. Para uma degustação ainda melhor, a sugestão é decantar o vinho por cerca de 30 minutos antes de servi-lo com os queijos Provolone e Pecorino.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/baccolo-appassimento-rosso-veneto-igt-2022.html
558,208,Vinho tinto chileno,Reyna Cabernet Sauvignon-Merlot Central Valley D.O. 2023,Vermelho-rubi com tons violáceos,"Aromas de cassis, ameixas e menta","Equilibrado, com acidez agradável e taninos maduros",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,17,Chile,Valle Central,12.5,"Cabernet Sauvignon, Merlot",Bodega Tagua Tagua,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/reyna-cabernet-sauvignon-merlot-central-valley-d-o-2023.html
559,210,Vinho tinto espanhol,Fuenteviña Pinot Noir,Vermelho-rubi com reflexos violáceos,Frutas vermelhas como morango e cereja,"Corpo leve, com muita fruta vermelha e taninos macios",3,1,3,3,,Vinho tinto,750ml,Rolha sintética,16,Espanha,Extremadura,12,Pinot Noir,Bodega López e Morena,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/fuentevina-pinot-noir-112721.html
560,213,Vinho branco francês,Louis Jadot Meursault AOC 2015,Amarelo-dourado brilhante,"Frutas brancas e amarelas maduras, avelã, com toques de especiarias","Cremoso, elegante, com boa acidez e final limpo",4,1,3,1,"Carnes brancas, Frutos do mar, Queijos, Risoto e massas de molho branco, Saladas e aperitivos",Vinho branco,750ml,Rolha,10,França,Borgonha,13,Chardonnay,Maison Louis Jadot,2015,2025,15 meses em barrica de carvalho,"A região de Meursault, na Borgonha, é conhecida por seus vinhos charmosos e expressivos, como o Louis Jadot, um vinho que quando jovem tem personalidade fresca, fina e mineral, mas com o tempo adquire riqueza e complexidade admirável, com goles cremosos e elegantes. A Chardonnay cultivada neste rico terroir conquistou a crítica especializada com 92 pontos Wine Enthusiast, 92 pontos Wine Spectator e 90 pontos CellarTracker. O Louis Jadot é uma experiência imperdível, principalmente quando harmonizado com frutos do mar e aperitivos.",Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/louis-jadot-meursault-158741.html
561,297,Vinho tinto espanhol,Galecu Vino Tinto,Vermelho-rubi,"Aromas de frutas vermelhas maduras e em compota, como cereja e framboesa","Jovem e frutado, com acidez agradável e taninos macios",3,1,2,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Multirregional,11,Uvas variadas,Vinigalicia,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/galecu-red-blend-241221.html
562,215,Vinho tinto espanhol,Knock Knock Caperucita Tinta Red Blend Tempranillo-Syrah,Vermelho-rubi com reflexos violáceos.,"Especiarias, notas de frutas negras como ameixa madura e amora","Corpo médio, saboroso e equilibrado.",3,2,3,3,,Vinho tinto,750ml,Tampa de rosca,17,Espanha,Valencia,12.5,"Tempranillo, Syrah",Torre Oria,,2025,,"Era uma vez... Caperucita. Este tinto é sinônimo de alegria, união e fábulas, e a própria Chapeuzinho Vermelho convida a prová-lo. É um vinho feito história e que, ao final do último gole, alguém sempre pede pra contar outra vez. A união das uvas Tempranillo e Syrah se traduz em goles saborosos, e não há Lobo Mau para te impedir de beber...melhor.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/knock-knock-caperucita-100201.html
563,217,Espumante Branco brasileiro,Alísios Brut,Amarelo pálido com reflexos esverdeados,"Aromas intensos de frutas tropicais e flores, como rosa, margarida e madressilva","Equilibrado, refrescante e agradável, com perlage fina e persistente",4,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Risoto e massas de molho branco, Saladas e aperitivos",Espumante Branco,750ml,Rolha de cortiça,8,Brasil,Vale do São Francisco,12,"Verdejo, Sauvignon Blanc, Chenin Blanc",Miolo Wine Group,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/al-sios-by-miolo-brut-125281.html
564,218,Vinho tinto argentino,Finca Andinos Malbec 2023,Violeta profundo,"Notas de ameixa, cereja preta e figo","Concentrado, com sabores de frutas pretas e vermelhas, e toques de especiarias, oferecendo equilíbrio e final persistente",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Argentina,13.5,Malbec,La Agricola,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/finca-andinos-malbec-2023.html
565,219,Vinho tinto italiano,Terre da Vino Barbaresco DOCG 2021,Vermelho granada com tons brilhantes,"Cranberry, amora selvagem e leve toque de baunilha","Estruturado, frutado e com taninos marcantes",4,1,3,4,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Itália,Piemonte,14,Nebbiolo,Terre da Vino,2021,2030,24 meses em barricas de carvalho,"Conhecida por dar vida ao tradicional Barolo, a uva Nebbiolo também se destaca em Barbaresco, sub-região do Piemonte. As baixas altitudes do local permitem que a uva amadureça mais cedo, resultando em vinhos de caráter frutado, paladar estruturado, com taninos potentes e aromas marcantes, como este Terre da Vino.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/terre-da-vino-barbaresco-docg-2020.html
566,221,Vinho tinto espanhol,El Sotillo Selección Tinto,Vermelho-rubi brilhante,Notas intensas de frutas vermelhas,"Frutado, equilibrado, agradável e fácil de beber",4,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Multirregional,12,"Garnacha, Tempranillo",J. Garcia Carrion,,2025,,"Se você está à procura de um vinho jovem, agradável e frutado, ideal para acompanhar as mais diversas ocasiões e harmonizações, acaba de encontrar. El Sotillo Selección é aquele rótulo espanhol que, a cada passo da degustação, envolve ainda mais quem está provando seu sabor. Para deixar a sua experiência de apreciação ainda mais completa, aposte em uma tábua de queijos amarelos, carne assada com batatas ou pizzas variadas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/el-sotillo-var-tempranillo-esp-241101.html
568,229,Vinho tinto italiano,Cesari Recioto della Valpolicella Classico DOCG 2018,Vermelho-rubi,"Aroma de frutas caramelizadas, especiarias, chocolate e tostado","Intenso, saboroso e sedoso",5,5,2,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,500ml,Rolha de cortiça,15,Itália,Vêneto,13,"Corvina, Rondinella, Rossignola-Negrara",Cesari,2018,2025,12-18 meses em barricas de carvalho,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/cesari-recioto-della-valpolicella-doc-classico-2018-193421.html
569,231,Espumante Branco francês,Champagne Charles Collin Classique Brut,Amarelo-palha,"Notas de frutas frescas, com toques de biscoitos, figos e especiarias","Fresco, equilibrado e com toques de frutas cítricas",4,1,5,1,"Frutos do mar, Saladas e aperitivos",Espumante Branco,750ml,Rolha de cortiça,7,França,Champagne,12,"Chardonnay, Pinot Noir",,,,3 anos em sur lie,"Implantada há mais de 70 anos no terroir de Côte des Bar, icônica região de Champagne, a vinícola Charles Collin leva seu nome para o mundo por meio de rótulos icônicos. Exemplo disso é esta expressão produzida a partir das castas Pinot Noir e Chardonnay, que traz consigo os encantos e toda a tipicidade dos solos franceses por meio da taça. De caráter refrescante e harmônico, ele revela aromas de frutas frescas, com toques de biscoitos, figos e especiarias. Em boca, traz acidez refrescante e nuances de frutas cítricas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/charles-collin-champagne-classique-brut-blend.html
571,506,Vinho tinto argentino,Black Magic Red Blend 2019,Vermelho-rubi,Aromas de frutas vermelhas e toques de especiarias,"Elegante, rico e equilibrado, com taninos macios e boa acidez",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13.5,Blend,,2019,2025,3 meses em barricas de carvalho,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/black-magic-red-blend-2019.html
572,234,Vinho tinto espanhol,Enterizo Bobal-Tempranillo Utiel-Requena DOP 2021,Vermelho cereja intenso com reflexos violáceos marcantes,"Expressivo, com notas de framboesa e amora","Agradável, redondo, com boa estrutura, e nuances de morango",4,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Espanha,Utiel-Requena,12.5,"Male, Bobal",Bodegas Coviñas,2021,2025,,"Tempranillo é uma das uvas mais célebres na Espanha, sendo considerada a rainha da vitivinicultura do país. Já a Bobal tem ganhado cada vez mais prestígio, alcançando adegas mundo afora com sua versatilidade. Nesta versão de Enterizo, ambas as castas cultivadas na denominação de Utiel-Requena se unem, originando um vinho que conquistou a crítica especializada por meio de goles agradáveis, redondos e estruturados, além de aromas expressivos de framboesa e amora.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/enterizo-bobal-tempranillo-2021-319821.html
575,241,Espumante Branco francês,Champagne Moët & Chandon Impérial Brut - 750mL,Amarelo-dourado com reflexos esverdeados e perlages finas,"Aromas vibrante de maçã-verde e frutas cítricas, nuances minerais e de flores brancas, e notas de brioches, cereais e frutos secos","Elegante, vivaz e refrescante, com notas de peras, pêssegos e maçãs",4,1,5,1,"Carnes brancas, Frutos do mar",Espumante Branco,750ml,Rolha,6,França,Champagne,12,Uvas variadas,Moët & Chandon,,2025,,"Criado em 1869, o Impérial Brut é o mais emblemático rótulo da Moët & Chandon. Um assemblage feito partir das variedades de uvas Pinot Noir, Meunier e Chardonnay cultivadas na região de Champagne, ele expressa o estilo único do produtor por meio de um paladar sedutor, elegante e vibrante, além de aromas cítricos, minerais, florais e de panificação.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/mini-moet-imperial-brutt.html
576,245,Vinho branco espanhol,Montefrio Airén La Mancha D.O.,Amarelo com tons esverdeados,Notas florais e de frutas tropicais,"Refrescante, macio e frutado",3,1,4,1,,Vinho branco,750ml,Rolha,8,Espanha,La Mancha,11,Airén,Felix Solis,,,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/montefrio-airen-d-o-la-mancha-139931.html
578,247,Vinho tinto espanhol,Enterizo Crianza Utiel-Requena DOP 2021,Vermelho-rubi com reflexos violáceos,"Expressivo, ressaltando toques de ameixa e groselha","Intenso, unindo o caráter frutado às notas tostadas de mentol",4,1,3,4,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Utiel Requena,12.5,Blend,Bodegas Coviñas,2021,2025,12 meses em barris de carvalho americano,"Fruto da combinação de Tempranillo, considerada a uva rainha da vitivinicultura espanhola, e Bobal, famosa por sua versatilidade, esta versão de Enterizo traz o melhor das duas castas, resultando em um vinho expressivo e descomplicado. Elaborado na célebre região vinícola de Utiel-Requena, este exemplar apresenta intensidade logo no primeiro gole, ressaltando notas tostadas e mentoladas, enquanto no nariz se destacam aromas de ameixa e groselha. Perfeito para ser apreciado sozinho, este vinho pode tornar qualquer momento ainda mais especial, principalmente quando for harmonizado com queijo Idiazabal, paella de legumes e costela de porco assada.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/enterizo-crianza-utiel-requena-dop-2021.html
579,248,Vinho tinto argentino,Casa Selvaggio Malbec Vino Orgânico 2023,Vermelho-rubi brilhante,"Expressivo, com notas de frutas pretas e vermelhas maduras, e nuances flores e ervas","Elegante, fresco, de corpo médio, taninos redondos e final longo",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,14,Malbec,Vinecol,2023,2025,,"Esta versão de Casa Selvaggio é a sua oportunidade de conhecer uma outra faceta do típico Malbec argentino. Trata-se de um vinho que foi elaborado com uvas cultivadas no departamento de La Paz, região situada no leste de Mendoza, adjacente à Reserva da Biosfera Ñacuñán — uma área protegida e repleta de recursos naturais ideais para a agricultura orgânica. O resultado é um tinto elegante, fresco, de corpo médio, taninos redondos e final longo, com aromas expressivos de frutas pretas e vermelhas maduras, e nuances de flores e ervas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/casa-selvaggio-malbec-organico.html
580,299,Vinho tinto português,Farnel Red Vinho Regional Tejo,Vermelho-rubi brilhante,"Aromas intensos de frutas vermelhas e pretas, e notas de ervas","Intenso e harmonioso, com taninos agradáveis e final marcante",4,1,3,3,,Vinho tinto,750ml,Tampa de rosca,16,Portugal,Tejo,13.5,Uvas variadas,Caves Campelo,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/farnel-igp-tejo-2021-345561.html
581,259,Espumante Branco brasileiro,Orgulho Espumante Branco Brut 2023,Amarelo-palha com reflexo dourado e brilhante,Notas intensas de frutas de pomar e toques tropicais,"Refrescante, redondo e de acidez equilibrada",4,1,4,1,"Carnes brancas, Frutos do mar, Risoto e massas de molho branco, Saladas e aperitivos",Espumante Branco,750ml,Rolha,6,Brasil,Serra Gaúcha,12,"Chardonnay, Riesling",Vinícola Giaretta,2023,2025,,"Diversas ocasiões ficam ainda mais agradáveis na companhia de uma taça de vinho —  principalmente de espumantes, que são conhecidos pelo charme e elegância. E Orgulho, um rótulo exclusivo Evino, convida você a celebrar momentos: um objetivo alcançado, a presença de alguém especial, boas lembranças, o orgulho de ser quem é, a vida, o amor. Pronto para transformar seus brindes em memórias únicas, este exemplar se mostra refrescante, redondo e de acidez equilibrada em boca, e revela notas intensas de frutas de pomar e toques tropicais no nariz.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/espumante-orgulho-2023-363911.html
